Wine ID,country,description,designation,points,price,province,region_1,region_2,variety,winery
2973,Australia,"The 2012 and 2013 vintages were both strong in southern Australia, so some of the realistically priced Pinots from South Australia and Victoria are worth stocking up on. This is a good example, showing hints of acacia blossoms, red berries, cola and brown sugar wrapped in supple tannins. Drink now through 2018.",,89,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
2992,Australia,"It's difficult to find $20 Pinot Noir this good from anywhere in the world. Floral notes on the nose yield to ripe black-cherry fruit on the palate, which finish finishes with crisp acids and soft, dusty tannins. Drink nowÇ??2020.",,89,20,Victoria,Victoria,,Pinot Noir,Innocent Bystander
3033,Australia,"This Cabernet equivalent to Grange has exploded in price (I remember tasting the 1996 on release when it was $25 per bottle), but there's no questioning the quality. A deep, intense nose of cassis, earth, menthol and cedar is followed by a full, rich palate that's supple without being soft. Brighter notes of red fruit emerge on the lengthy finish, which is dominated by sweet fruit and creamy lactones. Drink 2020Ç??2030, and probably well beyond.",Bin 707,95,500,South Australia,South Australia,,Cabernet Sauvignon,Penfolds
3044,Australia,"From vines planted in 1912, this has been an icon of South Australia Shiaz since 1952, when it was first bottled as a single-vineyard wine. Menthol and vanilla notes frame black cherries and cassis on the nose, while the palate reveals supple tannins and meaty, savory complexities. The finish is softly dusty, fine and long. Drink nowÇ??2030.",Mount Edelstone Vineyard,95,200,South Australia,Eden Valley,,Shiraz,Henschke
3047,Australia,"This is a throwback to those brash, flavor-exuding Aussie wines of the past. Flashy, sweet-scented oak (think maple syrup and toasted coconut) marks the nose, while concentrated cassis and vanilla flavors coat the palate. This is big, but gorgeously so, with velvety-rich tannins and a long, plush finish. No, there's nothing subtle about this blend of 60% Cabernet and 40% Shiraz, but sometimes subtlety is overrated. Drink nowÇ??2030.",One,95,95,South Australia,Langhorne Creek,,Red Blend,Heartland
3048,Australia,"This rich, opulent wine carries its massive oak load easily, marrying vanilla and toasted coconut notes with ripe plum and black cherry flavors. It's full bodied and plush, with supple tannins supported by the wood. Give it a few years to knit together and drink it 2020Ç??2030.",Les Amis,95,185,South Australia,Barossa Valley,,Grenache,Torbreck
3324,Australia,"This wine, which comes from thin, granitic soils, is lean, taut and dry. Hints of lime blossom and green apple on the nose and palate give it a springtime feel, while the finish is crisp and refreshing.",Ladies Who Shoot Their Lunch,89,35,Victoria,Victoria,,Riesling,Fowles Wine
3584,Australia,"This medium-bodied Shiraz represents a solid value. Sourced from 80 growers, it's meant to present a Ç?úportraitÇ?ù of the Barossa region, and it delivers vanilla, plum and black olive aromas and flavors, supple tannins and a lingering mocha finish.",Portrait,89,16,South Australia,Barossa Valley,,Shiraz,Peter Lehmann
3655,Australia,"A remarkable effort, especially considering how difficult the 2011 vintage was in South Australia. Floral notes emerge on the nose, dressing up hints of raspberry compote, while the medium- to full-bodied palate delivers raspberries, cherries, cinnamon, clove and pepper. The tannins on the finish are fine and silky. Drink nowÇ??2025.",Ancestor Vine 1850,94,90,South Australia,Barossa Valley,,Grenache,Cirillo
3822,Australia,"A terrific value in sparkling wine, this slightly copper-tinged bubbly features classy aromas of dried thyme, citrus and apple. On the light-bodied palate, there's a hint of creaminess and the merest suggestion of strawberry, although apple and citrus dominate. A great option for summer entertaining.",T Series Chardonnay-Pinot Noir-Pinot Meunier,89,13,Australia Other,Australia,,Sparkling Blend,Taltarni
3934,Australia,"It's nice to see the quality of this wine reach new heights, as it's still relatively affordable within the Henschke context. The blend includes Shiraz, Cabernet Sauvignon, Merlot and Cabernet Franc. The 2013 shows a slightly austere side, an aristocratic reserve, but the flavors are classic. Pencil shavings, mint, cassis and cigar box finish with great drive, length and dusty tannins. Drink 2023Ç??2035.",Keyneton Euphonium,94,65,South Australia,Barossa,,Red Blend,Henschke
3935,Australia,"A classic blend of Cabernet and Shiraz, this is cedary and complex upon opening, easily mixing cassis, plum and blackberry with vanilla and baking spices. On the palate, it's dense and concentrated yet slightly reserved, suggesting rather than screaming its potential. A long, mocha-tinged finish wraps things up, combining dusty tannins with mouthwatering acids. Drink 2020Ç??2030+.",The Signature,94,55,South Australia,Barossa,,Cabernet Sauvignon-Shiraz,Yalumba
3958,Australia,"With only 12% new oak and 28% of the fruit coming from the cool Eden Valley, this wine may hold more appeal to lovers of Old World Syrah than any other Torbreck bottling. Pepper, bacon fat and mixed berries mark the nose, while the palate is full, creamy and expansive. The long finish includes enough soft, dusty tannins to suggest cellaring through 2030 as a possibility, although it's delicious now.",The Struie,94,50,South Australia,Barossa,,Shiraz,Torbreck
4232,Australia,"Named for the special format of small oak barrel it's aged in, this has soaked up the oak impressively. Hints of vanilla and graham crackers accent mixed berry fruit, while the finish is long and mouthwatering. There's ample concentration, yet the wine never seems heavy. Drinkable now, but why rush things? Drink 2020Ç??2030.",The Octavius Old Vine,93,120,South Australia,Barossa,,Shiraz,Yalumba
4477,Australia,"Named for the special format of small oak barrel it's aged in, this has soaked up the oak impressively. Hints of vanilla and graham crackers accent mixed berry fruit, while the finish is long and mouthwatering. There's ample concentration, yet the wine never seems heavy. Drinkable now, but why rush things? Drink 2020Ç??2030.",The Octavius Old Vine,93,120,South Australia,Barossa,,Shiraz,Yalumba
4479,Australia,"An outstanding effort in a difficult vintage, these old vines (the oldest were planted in 1889) have turned out a super wine. Complex aromas and flavors range from smoke, thyme blossom and licorice to apricots and black cherries. this is medium to full in body, with crisp acids and supple tannins that impart a silky feel to the long finish. Drink nowÇ??2025.",The Tri-Centenary,93,54,South Australia,Barossa,,Grenache,Yalumba
4480,Australia,"One of the plusses to having a cash-flow brand like Yellow Tail in the portfolio is that it gives the owners the opportunity to properly age their high-end wines prior to release. At 10 years old, this has acquired a veneer of silkiness and elegance that enfolds the cassis and red-currant fruit. There's no shortage of smoky, vanilla and brown-sugar inflected oak either. Drink nowÇ??2025.",1919,93,100,South Australia,Wrattonbully,,Cabernet Sauvignon,Casella
4752,Australia,"Full-bodied, rich and chewy, this is a big, bold wine. Ample oak frames black cherry and cassis fruit, adding hints of vanilla and dark chocolate to the fudge-like impression. Warmth suffuses the palate, but doesn't quite progress to full-blown high-alcohol heat. There's no doubting its impressive intensity and ripeness. Drink nowÇ??2025.",Velvet Glove,93,185,South Australia,McLaren Vale,,Shiraz,Mollydooker
5078,Australia,"Austere, tannic and chewy, this Cabernet could use a few years in the cellar. Classic mint and cassis notes are framed by cedar and vanilla, but the fruit comes through on the firm, dusty finish, a sign of positive things to come. Drink 2020Ç??2030.",Trueman,93,75,South Australia,McLaren Vale,,Cabernet Sauvignon,Hickinbotham
5207,Australia,"The lightest of the 2012 single-vineyard Pinot Noirs from Giant Steps, this is an almost delicate wine with silky tannins. Notes of smoke, earth and mushroom mark the nose, while hints of pine boughs impart a slightly medicinal edge to the cherry fruit. Drink now.",Gladysdale Vineyard,86,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
5378,Australia,"Tasted together with the 2013, this is everything its younger brother is, but ever-so-slightly less intense. Complex notes of baking spices, pepper, bacon fat, raspberries and blueberries glide across the palate, picking up a slightly meaty note on the long, fruit-driven finish. Drink nowÇ??2030.",The Struie,93,50,South Australia,Barossa Valley,,Shiraz,Torbreck
5390,Australia,"Only released in top vintages, this is Jim Barry's luxury cuv??e of Cabenet Sauvignon. It does see plenty of oak, so it shows impressive notes of baking spices, vanilla and brown sugar, but it backs those with ample dark fruit. It's elegant despite its size, with a fine-grained tannins lingering on the finish. Drink nowÇ??2025, and possibly beyond.",The Benbournie,93,83,South Australia,Clare Valley,,Cabernet Sauvignon,Jim Barry
5399,Australia,"This release deserves some sort of award for consistency, year in and year out. The 2011 is light to medium in body and long, zesty and vibrant on the finish. Aromas and flavors of bergamot, honey (although the wine is completely dry) and toast are classic aged Eden Valley Riesling. Drink nowÇ??2030.",The Contours Museum Reserve,93,45,South Australia,Eden Valley,,Riesling,Pewsey Vale
5465,Australia,This supple medium-bodied Pinot Noir is ready to drink. Predominantly earthy notes of leather and dried spices are harmonious and complex without being overly demanding.,Omrah,88,20,Western Australia,Western Australia,,Pinot Noir,Plantagenet
5838,Australia,"Paler than typical for Australian ros??s, this is more in the style of southern France. It's light to medium in weight, with a crisp, refreshing feel and bright berry and lime zest flavors. Drink now.",Mathilda,88,15,Victoria,Victoria,,Ros??,Tournon by Michel Chapoutier
5839,Australia,"Turkey Flat's ros?? has been an Aussie staple for more than decade. The 2015 is 92% Grenche, with the balance a blend of Cabernet Sauvignon, Shiraz, Dolcetto and Mataro. Crushed stone and red berry scents lead the way, followed by flavors that are reminiscent of white chocolate and strawberries. It's fairly weighty for a ros??, with a long, slightly viscous finish.",,88,20,South Australia,Barossa Valley,,Ros??,Turkey Flat
5843,Australia,"Vanilla, cedar and plum notes benefit from a dusting of cracked pepper in this medium-bodied dry red. The tannins are supple to the point of creaminess, and the finish warm and spicy. Drink now.",,88,15,South Australia,South Australia,,Shiraz,2 Up
5939,Australia,"Classic Eden Valley aromas of lemon-lime sherbet and wet stone mark the nose of this medium-bodied wine. That wet stone note carries through on the palate to yield a slightly chalky or crushed-stone texture, while the citrus fruits race through the long finish. Drink 2020Ç??2030.",Julius,92,43,South Australia,Eden Valley,,Riesling,Henschke
6078,Australia,"Classic Eden Valley aromas of lemon-lime sherbet and wet stone mark the nose of this medium-bodied wine. That wet stone note carries through on the palate to yield a slightly chalky or crushed-stone texture, while the citrus fruits race through the long finish. Drink 2020Ç??2030.",Julius,92,43,South Australia,Eden Valley,,Riesling,Henschke
6361,Australia,"For an entry-level wine, this is excellent. The aromas and flavors feature smoky, stemmy, herbal goodness layered over blueberries and black cherries, while the palate is full and supple and the finish long, silky and elegant. The quality of this wine has me looking even more forward to Torbreck's high end 2014s.",Woodcutter's,92,24,South Australia,Barossa Valley,,Shiraz,Torbreck
6363,Australia,"Great Southern is an underrated source for Cabernet Sauvignon, amply demonstrated by this wine. Expansive notes of cedar, brown sugar, vanilla and baking spices enrobe tart berries, while the wine's firm structure carries through to a crisp, tannic finish. Try in 2020.",,92,29,Western Australia,Great Southern,,Cabernet Sauvignon,Plantagenet
6385,Australia,"Dry Riesling of this quality is capable of aging up to two decades, especially under screw cap. this one is medium bodied and dominated at the moment by ripe, citrusy fruit. It's more orange than lime, yet still shows great acidity and length. Drink 2020Ç??2030.",Mort's Reserve,92,30,South Australia,Clare Valley,,Riesling,Kilikanoon
6386,Australia,"The 2014 vintage was slightly cooler than 2013 in the Barossa, which bodes well for Cabernet. This shows aromatic red currants, bay leaf and sage on the nose, then folds in hints of cinnamon and brown sugar. The oak is in the background, letting the fruit carry the wine, yet building in a rich, velvety texture. Drink nowÇ??2030.",Blacksmith,92,31,South Australia,Barossa,,Cabernet Sauvignon,Langmeil
6457,Australia,"This is straightforward, well-made tank-fermented fizz at a bargain price. Chardonnay and Pinot Noir offer hints of toasted brioche and lemon curd, finishing crisp and clean.",DB Family Selection Sparkling Brut,88,12,New South Wales,Riverina,,Sparkling Blend,De Bortoli
6473,Australia,"This is a ripe, plump ros?? that's highly Ç?úsmashable,Ç?ù as young Aussies would say. Mixed red berry fruit is underscored by a dash of lime on the finish. Drink now.",Breathing Space,88,,Australia Other,Australia,,Ros??,Evans & Tate
6663,Australia,"This is a ripe, plump ros?? that's highly Ç?úsmashable,Ç?ù as young Aussies would say. Mixed red berry fruit is underscored by a dash of lime on the finish. Drink now.",Breathing Space,88,,Australia Other,Australia,,Ros??,Evans & Tate
6679,Australia,"This is a plump, succulent Chardonnay for drinking by the end of 2016. The apple, citrus and pear notes are pretty simple, but clean, with a long, refreshing finish.",Promised Land Unwooded,88,13,South Australia,South Australia,,Chardonnay,Wakefield Estate
6682,Australia,"Because of a short vintage, this Clare Valley-based winery reached down into Padthaway for fruit. The result is a broad, slightly warm wine, marked by melon, peach and apricot flavors. Drink now.",,87,17,South Australia,South Australia,,Chardonnay,Wakefield Estate
6720,Australia,"Scents of wet stone, paraffin and citrus ease into flavors of lemon, melon and tea on the palate. This is light in body and silky in feel, with a long, harmonious finish. Drink it now or age it up to 10 years, maybe even longer.",,92,24,New South Wales,Hunter Valley,,S??millon,Silkman
6732,Australia,"After spending 18 months in oak, this wine has emerged toasty and vanilla-laden. That said, there's some impressive fruit underneath, medium-bodied and crisp, with undertones of raspberries and red currants that linger on the concentrated finish. Drink 2020Ç??2030.",Lucindale,92,,South Australia,Limestone Coast,,Cabernet Sauvignon,Di Giorgio Family Wines
6735,Australia,"At a fraction of the cost of the Velvet Glove, readers can try this wine with similar results. It's full, rich and expansive on the palate. Warm waves of ripe berries suffuse the palate, tinged with Mexican chocolate, vanilla and mocha. Drink nowÇ??2025.",Carnival of Love,92,75,South Australia,McLaren Vale,,Shiraz,Mollydooker
6996,Australia,"Full bodied, creamy in texture and lush on the palate, this wine offers a thrilling mouthful of satisfaction. Menthol, vanilla and cedar notes frame ripe, plummy fruit, while the velvety finish features lingering spice. Drink nowÇ??2025.",,92,40,South Australia,Padthaway,,Shiraz,Henry's Drive Vignerons
7018,Australia,"This is a fine example of what Barossa Shiraz is capable of at a realistic price. It's full bodied and richly textured, plush without being too soft. French oak brings a smoky, bacony element to the ripe blueberry fruit, plus a dusting of baking spices that lingers on the finish. Drink nowÇ??2025.",Twins,92,25,South Australia,Barossa,,Shiraz,Maverick
7019,Australia,"Creamy and plush may not be traditional Cabernet descriptors, but they're what this wine delivers. Vanilla and graham cracker notes swaddle mixed currant fruit in this big but cuddly teddy bear of a wine. Drink nowÇ??2022.",Gigglepot,92,49,South Australia,McLaren Vale,,Cabernet Sauvignon,Mollydooker
7104,Australia,"The Pannell family, who founded Margaret River's Moss Wood in 1969, moved on in the mid-1990s to Pemberton, where it felt conditions were more suited to Burgundian varieties. This is a rather full-bodied Pinot Noir, with supple tannins and a long, slightly dusty finish. Light resiny notes and rooty scents add complexity to modest cherry fruit. Drink nowÇ??2020.",,87,40,Western Australia,Pemberton,,Pinot Noir,Picardy
7409,Australia,"Pie cherry and rhubarb notes make a bright impression on the nose, followed by tart flavors bundled in a mocha-tinged wrapper. The texture is almost syrupy on the midpalate, but turns dry and dusty on the finish. This is a bit disjointed at this stage, so perhaps it will improve with cellaring. Try after 2018.",Bicheno Single Site,87,65,Tasmania,Tasmania,,Pinot Noir,Dalrymple
7634,Australia,"Baking spices and vibrant cassis set up the nose of this Cabernet. Those same elements are apparent on the palate, where the wine is full-bodied and solidly built. Cinnamon and cocoa notes add a dusty feel to the lingering finish. Drink nowÇ??2025.",Directors' Cut,92,39,South Australia,Langhorne Creek,,Cabernet Sauvignon,Heartland
7636,Australia,"Full bodied, creamy and rich, this wine will undoubtedly please Torbreck fans and provide another piece of ammo for critics. Tasted blind, I wrote, Ç?úTorbreck-like nose of lifted spice and stewed berries.Ç?ù There's a hint of mint as well. Mixed berries and brown sugar notes mingle easily on the palate, while a touch of dried fruit (not a positive) creeps in on the finish. Drink nowÇ??2025.",Descendant,92,125,South Australia,Barossa Valley,,Shiraz-Viognier,Torbreck
7734,Australia,"Cedar and vanilla notes mark the nose of this wine, which boasts ample weight, modest fruit and a soft, open-knit texture. It's appealing for its oaky charm.",,87,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
7963,Australia,"This Southern Hemisphere adventure from an Austrian winemaking family can turn out some interesting wines. In this case, it's a medium-bodied wine that's firm yet silky in feel, marrying cassis and tobacco leaf with subtle, balanced oak.",Finniss River Braeside Vineyard,91,35,South Australia,Fleurieu Peninsula,,Cabernet Sauvignon,Salomon Estate
7979,Australia,"Medium-bodied, crisp and firmly tannic, this Cabernet still needs a few years to come into full bloom. Cassis, leather and vanilla notes merge together on the finish, joined by dusty tannins. Cellar until 2020.",The Coppermine Road,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,D'Arenberg
8016,Australia,"Cedar and vanilla notes mark the nose of this wine, which boasts ample weight, modest fruit and a soft, open-knit texture. It's appealing for its oaky charm.",,87,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
8193,Australia,"This Southern Hemisphere adventure from an Austrian winemaking family can turn out some interesting wines. In this case, it's a medium-bodied wine that's firm yet silky in feel, marrying cassis and tobacco leaf with subtle, balanced oak.",Finniss River Braeside Vineyard,91,35,South Australia,Fleurieu Peninsula,,Cabernet Sauvignon,Salomon Estate
8194,Australia,"The wine emulates Bordeaux in more than name, being medium-bodied and a bit austere. It's firm and linear in construction, blending mint and black currant flavors into a crisp, tightly wound Cabernet. Try after 2020.",Dead Ringer,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,Wirra Wirra
8198,Australia,"Parts of Clare Valley are ideal for Cabernet Sauvignon, illustrated by this reasonably priced bottling. Mint and cassis show remarkable purity on the nose, while the palate is properly restrained without being hard or austere. That said, there are some dusty tannins on the finish, so drink 2020Ç??2030.",Blocks Road,91,30,South Australia,Clare Valley,,Cabernet Sauvignon,Kilikanoon
8492,Australia,"Broad and ripe, this wine offers hints of lemon curd, crushed stone and cashew butter. Ripe melon fruit flavors dominate the palate, even suggesting honey at times, while anise notes provide a bit of lift on the finish. Drink now.",Reserve,87,12,Australia Other,South Eastern Australia,,Chardonnay,Lismore Range
8530,Australia,"this is a lovely effort and a great value from Sidewood in the Adelaide Hills. Grilled peaches provide the flesh, while a bright, citrusy note adds focus and length to this ripe, rich Chardonnay. Drink nowÇ??2020.",,91,18,South Australia,Adelaide Hills,,Chardonnay,Sidewood
8532,Australia,"One of the best sparkling reds I've had in a long while, the current-release Vixen is 77% Shiraz, 15% Cabernet Sauvignon and 8% Cabernet Franc. Black cherries, vanilla and mint mingle easily on the nose an palate, with is rich but rather dry. It's ready to drink now.",Vixen,91,25,South Australia,McLaren Vale,,Red Blend,Fox Creek
8535,Australia,"Made in a savory, ageworthy style, the 2013 Covenant features aromas of tar, espresso and black olive. It adds intriguing red-berry notes on the full-bodied palate, along with dusty tannins that persist through the long finish. Drink 2018Ç??2025.",Covenant,91,40,South Australia,Clare Valley,,Shiraz,Kilikanoon
8586,Australia,"Blended from Yarra Valley and King Valley fruit, this light-bodied Pinot Noir is silky in texture, with a lingering finish. Modest red fruit combines with earthier notes of parsnip. Drink now.",,87,14,Victoria,Victoria,,Pinot Noir,Shoofly
8800,Australia,"This doesn't appear to be the strongest recent vintage of this wine, but it remains a benchmark for McLaren Vale Shiraz. Hints of vanilla and tobacco leaf add nuance to a mix of berries ranging from red raspberry to black currant, but there's also a hint of bruised fruit and a green toughness to the tannins. Give it some time in the cellar. Drink 2020Ç??2030.",Amery Vineyard Block 6,91,120,South Australia,McLaren Vale,,Shiraz,Kay Brothers
8818,Australia,"Full bodied and lavishly oaked, this wine boasts gorgeous shadings of brown sugar, clove and cinnamon layered over cassis and red berries. The plush finish lingers, folding in plum and vanilla. Drink nowÇ??2023.",,91,25,South Australia,McLaren Vale,,Cabernet Sauvignon,Beresford
9093,Australia,"Full bodied and lavishly oaked, this wine boasts gorgeous shadings of brown sugar, clove and cinnamon layered over cassis and red berries. The plush finish lingers, folding in plum and vanilla. Drink nowÇ??2023.",,91,25,South Australia,McLaren Vale,,Cabernet Sauvignon,Beresford
9110,Australia,"D'Arenberg's Coppermine Cabernets are often tannic and austere upon release, so be warned should you decide to open one in the next year or two. The aromas and flavors are classic this year, seamlessly marrying cassis and cedar, but finishing dry, astringent and firm. Drink 2020Ç??2030+.",The Coppermine Road,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,D'Arenberg
9136,Australia,"You could do a lot worse at the U.S. Open than to sip a glass of this. Keeping it well-chilled will help rein in the broad, weighty notes of peach and melon and allow hints of peppery spice to emerge on the finish. Drink now.",Classic,86,9,Australia Other,South Eastern Australia,,Chardonnay,Jacob's Creek
9275,Australia,"Classic Margaret River Cabernet, showing great balance between cedary oakiness and effusive fruitiness. Cola and plum notes give this a darker flavor spectrum than some vintages, yet the flavors remain crisp and vibrant, ending with soft tannins. Drink nowÇ??2025.",,91,72,Western Australia,Margaret River,,Cabernet Sauvignon,Cape Mentelle
9282,Australia,"Despite coming from a warm, inland region, this shows admirable freshness. Cassis, vanilla, some red-fruit tones and baking spices all come together harmoniously on the medium-bodied palate. It's restrained yet intense, with a long, silky finish. Drink nowÇ??2025.",Stomper's Single Vineyard,91,17,New South Wales,Riverina,,Cabernet Sauvignon,Nugan Family Estates
9283,Australia,"Dark chocolate and cedar merge easily on the nose of this medium- to full-bodied wine. Those dark, oaky elements are balanced by tart berries on the palate, enhanced by barrel char and oodles of soft tannins on the long finish. Drink nowÇ??2025.",Scotsdale,91,37,Western Australia,Great Southern,,Cabernet Sauvignon,Howard Park
9284,Australia,"This is a terrific value in balanced, ready-to-drink Australian Cabernet. It brings several Bordeaux-ish qualities to the tableÇ??medium body, silky tannins and aromas reminiscent of cigar box and RibenaÇ??then adds varietally true flavors and a long finish. Drink nowÇ??2025.",The Cover Drive,91,20,South Australia,Coonawarra,,Cabernet Sauvignon,Jim Barry
9607,Australia,"The d'Arenberg style favors structure over plushness, even in Grenache. This is crisp and firm, its cranberryish fruit tinged with hints of raspberry, orange zest, cinnamon and clove. Give it a few years to soften. Drink 2020Ç??2030.",The Derelict Vineyard,91,29,South Australia,McLaren Vale,,Grenache,D'Arenberg
9615,Australia,"This is Cape Mentelle's biggest selling wine in the U.S., and one taste makes it clear why. It's got some of the herbal and passion fruit notes of Sauvignon Blanc, balanced by the strong citrus of Semillon. It's clean, crisp and long on the finish, with a lightly silky texture that lingers. Drink now.",,91,20,Western Australia,Margaret River,,Sauvignon Blanc-Semillon,Cape Mentelle
9617,Australia,"This isn't Coonawarra's most elegant wine, but it certainly doesn't lack for character or concentration. Menthol, vanilla, cedar and cassis deliver plenty of flavor in this chunky, full-bodied Cabernet. Charred, mocha-like notes emerge on the long, intense finish. Drink nowÇ??2025.",,91,,South Australia,Coonawarra,,Cabernet Sauvignon,Balnaves of Coonawarra
9628,Australia,"Although sourced from the warm northern end of Barossa, the intention is to make a less bombastic expression of Shiraz, with only 14% new French oak. Mulberry fruit still comes through, accented by hints of coffee, mint and dark chocolate, without too much extraction or tannin. Drink nowÇ??2025.",Paradox,91,45,South Australia,Barossa,,Shiraz,Yalumba
9629,Australia,"Yarra Valley isn't really where you'd expect to find Marsanne, so this entirely barrel-fermented example is a treat. Only 10% new oak is used, just enough to lend a subtle note of toasted hazelnuts to the fruit, imparting silky texture and added complexity to the white peach, fig and melon flavors on the medium-bodied palate. Finishes long and citrusy.",Warramunda Reprise,91,28,Victoria,Yarra Valley,,Marsanne,Ben Haines
9917,Australia,"For the price, this is a remarkable achievement. It's a varietally correct, properly lightweight Pinot Noir imbued with attractive black cherry fruit. There's a charred-stave character that adds vanilla and a tinge of mocha as well. Drink now.",Reserve,85,13,South Australia,Adelaide Hills,,Pinot Noir,Jacob's Creek
9932,Australia,"The Hilltops is a high-altitude (approximately 450 meters above sea level), continental region that's often a good source for value. This wine is crisp, youthful and firm, with hints of baking spices and vanilla accenting pure cassis fruit. Drink 2020Ç??2030.",,90,15,New South Wales,Hilltops,,Cabernet Sauvignon,McWilliam's
