Wines,Country,Rate,Price,State,region_1,region_2,Wine Type,winery
8198,Australia,91,30,South Australia,Clare Valley,,Cabernet Sauvignon,Kilikanoon
8492,Australia,87,12,Australia Other,South Eastern Australia,,Chardonnay,Lismore Range
8530,Australia,91,18,South Australia,Adelaide Hills,,Chardonnay,Sidewood
8532,Australia,91,25,South Australia,McLaren Vale,,Red Blend,Fox Creek
8535,Australia,91,40,South Australia,Clare Valley,,Shiraz,Kilikanoon
8586,Australia,87,14,Victoria,Victoria,,Pinot Noir,Shoofly
8800,Australia,91,120,South Australia,McLaren Vale,,Shiraz,Kay Brothers
8818,Australia,91,25,South Australia,McLaren Vale,,Cabernet Sauvignon,Beresford
9093,Australia,91,25,South Australia,McLaren Vale,,Cabernet Sauvignon,Beresford
9110,Australia,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,D'Arenberg
9136,Australia,86,9,Australia Other,South Eastern Australia,,Chardonnay,Jacob's Creek
9275,Australia,91,72,Western Australia,Margaret River,,Cabernet Sauvignon,Cape Mentelle
9282,Australia,91,17,New South Wales,Riverina,,Cabernet Sauvignon,Nugan Family Estates
9283,Australia,91,37,Western Australia,Great Southern,,Cabernet Sauvignon,Howard Park
9284,Australia,91,20,South Australia,Coonawarra,,Cabernet Sauvignon,Jim Barry
9607,Australia,91,29,South Australia,McLaren Vale,,Grenache,D'Arenberg
9615,Australia,91,20,Western Australia,Margaret River,,Sauvignon Blanc-Semillon,Cape Mentelle
9617,Australia,91,,South Australia,Coonawarra,,Cabernet Sauvignon,Balnaves of Coonawarra
9628,Australia,91,45,South Australia,Barossa,,Shiraz,Yalumba
9629,Australia,91,28,Victoria,Yarra Valley,,Marsanne,Ben Haines
9917,Australia,85,13,South Australia,Adelaide Hills,,Pinot Noir,Jacob's Creek
9932,Australia,90,15,New South Wales,Hilltops,,Cabernet Sauvignon,McWilliam's
9946,Australia,90,25,New South Wales,Hunter Valley,,S??millon,Tyrrell's
9958,Australia,90,15,South Australia,South Australia,,Chardonnay,The Islander
10247,Australia,90,52,South Australia,Clare Valley,,Shiraz,Jim Barry
10353,Australia,90,25,New South Wales,Hunter Valley,,S??millon,Tyrrell's
10354,Australia,90,30,South Australia,McLaren Vale,,Cabernet Sauvignon,Fox Creek
10359,Australia,90,15,South Australia,South Australia,,Chardonnay,The Islander
10505,Australia,98,850,South Australia,South Australia,,Shiraz,Penfolds
10508,Australia,97,150,South Australia,Barossa Valley,,Shiraz,Penfolds
10509,Australia,97,600,South Australia,South Australia,,Shiraz,Penfolds
10512,Australia,96,225,South Australia,Barossa Valley,,Shiraz-Viognier,Torbreck
10517,Australia,96,150,South Australia,Barossa Valley,,Shiraz,Penfolds
10522,Australia,95,125,South Australia,Barossa Valley,,Shiraz,Torbreck
10528,Australia,95,100,South Australia,Barossa,,Shiraz,John Duval Wines
10575,Australia,90,13,South Australia,South Australia,,Cabernet Sauvignon,Wakefield Estate
10581,Australia,90,22,Western Australia,Margaret River,,Cabernet Sauvignon,Ringbolt
10585,Australia,90,40,South Australia,Coonawarra,,Cabernet Sauvignon,Wynns Coonawarra Estate
10587,Australia,90,17,South Australia,South Australia,,Chardonnay,Yalumba
10602,Australia,96,120,South Australia,McLaren Vale,,Shiraz,Kay Brothers
10633,Australia,84,17,Victoria,Victoria,,Pinot Noir,Fowles Wine
10771,Australia,95,105,South Australia,Barossa Valley,,Shiraz,Kilikanoon
10793,Australia,94,89,Western Australia,Margaret River,,Chardonnay,Leeuwin Estate
10865,Australia,95,84,Western Australia,Margaret River,,Cabernet Sauvignon,Moss Wood
10880,Australia,95,60,South Australia,Clare Valley,,Shiraz,Wakefield Estate
11073,Australia,94,100,South Australia,Barossa,,Shiraz,John Duval Wines
11074,Australia,94,65,South Australia,South Australia,,Shiraz,Penfolds
11098,Australia,93,57,South Australia,Barossa,,Shiraz,Langmeil
11185,Australia,94,95,South Australia,McLaren Vale,,Shiraz,Angove
11224,Australia,90,15,Victoria,Victoria,,Pinot Grigio,Redbank
11229,Australia,90,14,South Australia,Langhorne Creek,,Shiraz,9 Mile Road
11230,Australia,90,20,South Australia,Langhorne Creek,,Shiraz,Bleasdale
11235,Australia,90,16,Victoria,Victoria,,Rh??ne-style White Blend,Tournon by Michel Chapoutier
11386,Australia,93,42,South Australia,Barossa Valley,,Shiraz,3 Rings
11398,Australia,93,230,South Australia,Barossa Valley,,Shiraz,Kaesler
11529,Australia,90,35,South Australia,Eden Valley,,Riesling,Pewsey Vale
11546,Australia,90,20,South Australia,Clare Valley,,Shiraz,Jim Barry
11549,Australia,90,69,South Australia,Barossa,,Cabernet Sauvignon,Langmeil
11556,Australia,81,15,Victoria,Victoria,,Pinot Noir,Robert Oatley
11677,Australia,93,65,South Australia,McLaren Vale,,Grenache,Angove
11678,Australia,93,99,South Australia,South Australia,,Shiraz,Penfolds
11690,Australia,92,65,South Australia,McLaren Vale,,Shiraz-Grenache,Angove
11692,Australia,92,27,South Australia,South Australia,,Shiraz,Kingston Estate
11693,Australia,92,39,South Australia,Barossa,,Shiraz,St Hallett
11694,Australia,92,60,South Australia,McLaren Vale,,Shiraz,Wirra Wirra
11801,Australia,93,45,South Australia,Eden Valley,,Viognier,Yalumba
11805,Australia,93,69,Western Australia,Margaret River,,Cabernet Sauvignon,Cape Mentelle
11814,Australia,93,69,South Australia,Barossa,,Shiraz,St Hallett
11829,Australia,90,35,South Australia,Coonawarra,,Cabernet Sauvignon,Katnook Estate
11835,Australia,90,17,South Australia,Barossa,,Cabernet Sauvignon,Earthworks
12012,Australia,90,15,Victoria,Victoria,,Pinot Gris,McPherson Wine Company
12018,Australia,90,22,South Australia,Adelaide Hills,,Sauvignon Blanc,Shaw and Smith
12076,Australia,92,35,South Australia,Barossa Valley,,Shiraz,Jacob's Creek
12103,Australia,93,60,South Australia,McLaren Vale,,Shiraz,Kay Brothers
12242,Australia,90,35,South Australia,Coonawarra,,Cabernet Sauvignon,Katnook Estate
12251,Australia,89,23,Western Australia,Margaret River,,Sauvignon Blanc-Semillon,Howard Park
12253,Australia,89,17,South Australia,McLaren Vale,,Viognier-Marsanne,D'Arenberg
12428,Australia,93,100,South Australia,Barossa,,Shiraz,Ch??teau Tanunda
12454,Australia,92,60,South Australia,Barossa Valley,,Shiraz,Turkey Flat
12459,Australia,92,36,South Australia,McLaren Vale,,Grenache,Chapel Hill
12460,Australia,92,25,South Australia,Barossa,,Shiraz,Wolf Blass
12461,Australia,92,41,South Australia,Barossa,,Shiraz,Yalumba
12517,Australia,89,19,South Australia,Barossa Valley,,Cabernet Sauvignon,Peter Lehmann
12527,Australia,89,18,South Australia,South Australia,,Shiraz,Paringa
12757,Australia,92,70,South Australia,Barossa Valley,,Shiraz,Kilikanoon
12758,Australia,92,138,South Australia,Barossa,,Shiraz,Langmeil
12759,Australia,92,65,South Australia,Barossa Valley,,Shiraz,Kaesler
12760,Australia,92,25,South Australia,Eden Valley,,Riesling,Pewsey Vale
12778,Australia,91,17,South Australia,Barossa Valley,,Shiraz,Earthworks
12779,Australia,91,20,South Australia,McLaren Vale,,Shiraz-Grenache,D'Arenberg
12791,Australia,89,30,South Australia,Clare Valley-Coonawarra,,Cabernet Sauvignon,Wakefield Estate
12795,Australia,89,18,South Australia,South Australia,,Shiraz,Paringa
12798,Australia,89,17,South Australia,Adelaide Hills,,Sauvignon Blanc,Stable Hill
12801,Australia,89,39,South Australia,Langhorne Creek,,Shiraz,Heartland
12802,Australia,89,13,South Australia,South Australia,,Chardonnay,Yalumba
12931,Australia,93,38,South Australia,McLaren Vale,,Shiraz,Chapel Hill
12932,Australia,93,122,South Australia,Barossa,,Shiraz,Elderton
12948,Australia,92,19,Victoria,Nagambie Lakes,,Viognier,Tahbilk
13051,Australia,91,38,South Australia,Barossa Valley,,Shiraz,Groom
13108,Australia,89,13,South Australia,South Australia,,Sauvignon Blanc,Yalumba
13231,Australia,89,18,South Australia,Barossa,,Chardonnay-Semillon,Maverick
13233,Australia,89,108,South Australia,Barossa,,Cabernet Sauvignon,Elderton
13330,Australia,91,45,Western Australia,Margaret River,,Cabernet Sauvignon,Leeuwin Estate
13346,Australia,91,60,South Australia,McLaren Vale,,Cabernet Sauvignon,Wirra Wirra
13522,Australia,89,16,South Australia,McLaren Vale,,Cabernet Sauvignon,Thomas Goss
13636,Australia,90,29,Western Australia,Margaret River,,Cabernet Merlot,Leeuwin Estate
13771,Australia,89,20,South Australia,Barossa Valley,,Cabernet Sauvignon,3 Rings
13839,Australia,87,14,South Australia,Langhorne Creek,,Verdelho,Bleasdale
13848,Australia,87,18,South Australia,Adelaide,,Sauvignon Blanc,Groom
13936,Australia,88,14,Victoria,Victoria,,Sparkling Blend,Innocent Bystander
13939,Australia,88,32,South Australia,McLaren Vale,,Grenache,Yangarra Estate Vineyard
13987,Australia,90,17,South Australia,Barossa Valley,,Cabernet Sauvignon,Earthworks
14005,Australia,90,65,Victoria,Yarra Valley,,Pinot Noir,Yering Station
14136,Australia,88,16,South Australia,Langhorne Creek,,Cabernet Sauvignon,One Chain
14153,Australia,88,14,Victoria,Victoria,,Sparkling Blend,Innocent Bystander
14155,Australia,88,32,South Australia,McLaren Vale,,Grenache,Yangarra Estate Vineyard
14373,Australia,87,15,South Australia,Langhorne Creek,,Verdelho,Zonte's Footstep
14380,Australia,86,12,New South Wales,Riverina,,Cabernet Sauvignon,Nugan Family Estates
14396,Australia,86,9,Australia Other,South Eastern Australia,,Chardonnay,Beelgara
14444,Australia,88,20,Australia Other,Australia,,Chardonnay,Innocent Bystander
14461,Australia,87,21,Western Australia,Margaret River,,Shiraz,Hay Shed Hill
14465,Australia,87,15,Victoria,Bendigo,,Red Blend,Water Wheel
14472,Australia,87,12,New South Wales,Hunter Valley,,Chardonnay,Hope Estate
14615,Australia,86,20,South Australia,Eden Valley,,Riesling,Penfolds
14622,Australia,86,11,Australia Other,South Eastern Australia,,Shiraz-Cabernet Sauvignon,Ozwell Vintners
14623,Australia,86,10,Victoria,Victoria,,Pinot Grigio,Redbank
14641,Australia,91,19,South Australia,Adelaide,,Chardonnay-Semillon,D'Arenberg
14654,Australia,91,30,South Australia,Coonawarra,,Cabernet Sauvignon,Leconfield
14758,Australia,86,7,Victoria,Victoria,,Chardonnay,Deakin Estate
14823,Australia,92,25,South Australia,McLaren Vale,,Shiraz,Inkwell
14837,Australia,91,20,South Australia,South Australia,,Shiraz-Grenache,Kilikanoon
14855,Australia,91,35,South Australia,Eden Valley,,Riesling,Poonawatta Estate
14864,Australia,91,22,South Australia,McLaren Vale,,Shiraz,Tapestry
14867,Australia,91,45,South Australia,McLaren Vale,,Shiraz,Rosemount
14871,Australia,91,22,Western Australia,Frankland River,,Riesling,Ferngrove
14873,Australia,91,45,South Australia,Lenswood,,Chardonnay,Henschke
14878,Australia,91,35,Victoria,Mornington Peninsula,,Chardonnay,Stonier
14883,Australia,86,18,South Australia,Eden Valley,,Pinot Gris,Pewsey Vale
14898,Australia,86,12,Victoria,Victoria,,Chardonnay,Marquee
14899,Australia,86,12,South Australia,South Australia,,Shiraz-Cabernet Sauvignon,Hellbent
14942,Australia,90,75,Western Australia,Margaret River,,Cabernet Blend,Vasse Felix
14961,Australia,89,22,Victoria,Beechworth,,Pinot Noir,Brokenwood
15000,Australia,91,30,South Australia,McLaren Vale,,Shiraz,Chapel Hill
15010,Australia,91,39,South Australia,McLaren Vale,,Shiraz,Shottesbrooke
15017,Australia,90,20,South Australia,Barossa Valley,,Ros??,Torbreck
15051,Australia,90,25,New South Wales,Hunter Valley,,Chardonnay,Peter Howland
15060,Australia,87,9,Western Australia,Margaret River,,Chardonnay,Abbey Vale
15064,Australia,87,15,Western Australia,Western Australia,,Shiraz,Goundrey
15071,Australia,87,14,South Australia,Barossa Valley,,Shiraz,Piping Shrike
15077,Australia,87,12,Western Australia,Margaret River,,Chenin Blanc,Amberley
15081,Australia,87,12,South Australia,South Australia,,Shiraz,Wolf Blass
15082,Australia,87,15,Western Australia,Margaret River,,Cabernet Sauvignon,Ringbolt
15083,Australia,87,25,South Australia,McLaren Vale,,Cabernet Sauvignon,Morgan Simpson
15090,Australia,87,19,South Australia,Adelaide Hills,,Sauvignon Blanc,Angove's
15104,Australia,87,13,Australia Other,Australia,,Merlot,Cuttaway Hill Estate
15106,Australia,87,20,South Australia,South Australia,,Riesling,3 Hills High
15116,Australia,87,14,South Australia,McLaren Vale,,Chardonnay,Chateau Reynella
15119,Australia,87,11,Western Australia,Western Australia,,Chardonnay,Evans & Tate
15141,Australia,86,10,South Australia,South Australia,,Petit Verdot,Salena Estate
15178,Australia,91,45,South Australia,Clare Valley,,Shiraz,Leasingham
15195,Australia,85,18,South Australia,Barossa,,Cabernet Sauvignon-Shiraz,Yalumba
15289,Australia,89,29,Western Australia,Mount Barker,,Cabernet Sauvignon,Plantagenet
15322,Australia,90,70,South Australia,South Australia,,Shiraz,Barossa Valley Estate
15324,Australia,90,100,South Australia,McLaren Vale,,Grenache,Gibson's BarossaVale
15342,Australia,90,25,South Australia,Eden Valley,,Riesling,Mesh
15349,Australia,90,22,South Australia,McLaren Vale,,G-S-M,Rosemount
15362,Australia,87,14,South Australia,Coonawarra,,Cabernet Sauvignon,Long Flat
15369,Australia,87,35,Victoria,Heathcote,,Shiraz,Taltarni
15371,Australia,87,24,South Australia,Coonawarra,,Cabernet Sauvignon,Rosemount
15375,Australia,87,15,Western Australia,Western Australia,,Cabernet Sauvignon-Shiraz,Mad Fish
15377,Australia,87,12,Australia Other,South Eastern Australia,,Chardonnay,McWilliam's Hanwood Estate
15379,Australia,87,20,South Australia,Eden Valley,,Viognier,Heggies Vineyard
15381,Australia,87,14,South Australia,Barossa,,Shiraz,Long Flat
15390,Australia,87,10,Victoria,Victoria,,Chardonnay,Redbank
15410,Australia,87,40,Victoria,Yarra Valley,,Chardonnay,Sexton
15415,Australia,87,65,Western Australia,Margaret River,,Chardonnay,Leeuwin Estate
15417,Australia,87,40,Australia Other,Australia,,Chardonnay,Dalwhinnie
15450,Australia,85,12,South Australia,South Australia,,Shiraz-Cabernet Sauvignon,Penfolds
15454,Australia,85,13,South Australia,South Australia,,Chardonnay,Wakefield Estate
15466,Australia,85,20,Victoria,Yarra Valley,,Pinot Gris,Innocent Bystander
15535,Australia,89,20,Victoria,Yarra Valley,,Pinot Noir,Yering Station
15560,Australia,89,28,South Australia,South Australia,,Cabernet Sauvignon-Shiraz,Penfolds
15623,Australia,90,14,Western Australia,Frankland River,,Riesling,Rocky Gully
15631,Australia,88,25,South Australia,Coonawarra,,Cabernet Sauvignon,Punters Corner
15641,Australia,87,11,Australia Other,South Eastern Australia,,Shiraz-Cabernet Sauvignon,Penfolds
15650,Australia,87,30,South Australia,Barossa Valley,,Grenache,Yalumba
15658,Australia,87,39,Western Australia,Margaret River,,Chardonnay,Evans & Tate
15664,Australia,87,15,Western Australia,Western Australia,,Sauvignon Blanc,Mad Fish
15665,Australia,87,15,Western Australia,Western Australia,,Chardonnay,Indis
15685,Australia,86,14,Victoria,Yarra Valley,,Chardonnay,Long Flat
15692,Australia,87,45,South Australia,Barossa Valley,,Cabernet Sauvignon-Shiraz,Yalumba
15698,Australia,86,19,South Australia,Barossa Valley,,Red Blend,Kaesler
15706,Australia,86,15,South Australia,Clare Valley,,Riesling,Leasingham
15708,Australia,86,10,South Australia,South Australia,,Shiraz,Lindemans
15718,Australia,86,17,South Australia,South Australia,,Grenache-Shiraz,Macaw Creek
15719,Australia,86,12,South Australia,Clare Valley,,Riesling,Leasingham
15722,Australia,85,12,Australia Other,South Eastern Australia,,Cabernet Sauvignon,Angus The Bull
15737,Australia,85,19,South Australia,Kangaroo Island,,Pinot Gris,Hazyblur
15767,Australia,90,12,South Australia,Coonawarra,,Riesling,Wynns Coonawarra Estate
15770,Australia,90,21,South Australia,Clare Valley,,Shiraz,Leasingham
15809,Australia,89,50,South Australia,Clarendon,,Syrah,Clarendon Hills
15814,Australia,89,23,South Australia,Adelaide Hills,,Shiraz-Viognier,Off the Leash.
15817,Australia,89,32,Tasmania,Tasmania,,Champagne Blend,Clover Hill
15826,Australia,89,23,South Australia,Barossa Valley,,Ros??,Charles Melton
15828,Australia,89,25,South Australia,Barossa Valley,,Grenache,The Colonial Estate
15836,Australia,88,30,South Australia,McLaren Vale,,Shiraz,Battle of Bosworth
15874,Australia,89,30,South Australia,Piccadilly Valley,,Chardonnay,Petaluma
15875,Australia,89,20,South Australia,McLaren Vale,,Chardonnay,Wayne Thomas
15885,Australia,89,19,South Australia,McLaren Vale,,Shiraz,Sylvan Springs
15894,Australia,89,19,South Australia,Clare Valley,,Riesling,Koonowla
15895,Australia,89,16,South Australia,Eden Valley,,Riesling,Pewsey Vale
15897,Australia,89,23,South Australia,McLaren Vale,,Shiraz,Shottesbrooke
15933,Australia,86,35,Victoria,Yarra Valley,,Merlot,Giant Steps
15935,Australia,86,23,South Australia,Barossa Valley,,Rh??ne-style Red Blend,Sons of Eden
15940,Australia,86,11,New South Wales,Hunter Valley,,Chardonnay,Hope Estate
15952,Australia,86,27,Western Australia,Margaret River,,Chardonnay,Brookland Valley
15956,Australia,86,12,South Australia,Barossa,,Shiraz,Nine Stones
15957,Australia,86,9,South Australia,South Australia,,Merlot,Oxford Landing
15958,Australia,86,10,Australia Other,South Eastern Australia,,Cabernet Sauvignon,Wyndham Estate
15967,Australia,89,22,Western Australia,Great Southern,,Cabernet Sauvignon,West Cape Howe
16008,Australia,88,58,South Australia,Piccadilly Valley,,Chardonnay,The Colonial Estate
16055,Australia,89,19,Western Australia,Frankland River,,Riesling,Frankland Estate
16126,Australia,85,33,Western Australia,Margaret River,,Cabernet Sauvignon-Merlot,Moss Wood
16127,Australia,85,17,South Australia,Barossa Valley,,Cabernet Sauvignon-Shiraz,Yalumba
16136,Australia,85,19,Victoria,Victoria,,Gew??rztraminer,Delatite
16143,Australia,88,30,South Australia,Barossa,,S??millon,The Colonial Estate
16145,Australia,88,26,South Australia,South Australia,,Cabernet Sauvignon,Penfolds
16148,Australia,88,65,South Australia,McLaren Vale,,Shiraz,D'Arenberg
16152,Australia,88,24,South Australia,Barossa,,Shiraz,Schild Estate
16153,Australia,88,30,South Australia,Adelaide Hills,,Chardonnay,The Colonial Estate
16183,Australia,88,50,Victoria,Mornington Peninsula,,Pinot Noir,Yabby Lake Vineyard
16250,Australia,88,40,New South Wales,Hunter Valley,,Chardonnay,Tyrrell's
16271,Australia,85,15,Victoria,Yarra Valley,,Chardonnay,Yarra Burn
16282,Australia,85,9,Victoria,Victoria,,Chardonnay,Deakin Estate
16283,Australia,85,10,Australia Other,South Eastern Australia,,Chardonnay,Black Opal
16289,Australia,85,10,Victoria,Murray-Darling,,Shiraz,Paiko
16383,Australia,88,16,South Australia,McLaren Vale,,Chardonnay,Hugh Hamilton
16401,Australia,88,24,South Australia,McLaren Vale,,Shiraz,Hugh Hamilton
16414,Australia,84,9,Victoria,Victoria,,Shiraz,Deakin Estate
16418,Australia,84,6,Australia Other,South Eastern Australia,,Shiraz,Ironwood
16422,Australia,84,10,New South Wales,New South Wales,,Shiraz,Riverina Estates
16423,Australia,84,20,South Australia,Coonawarra,,Red Blend,Punters Corner
16434,Australia,84,17,South Australia,Coonawarra,,Chardonnay,Katnook Estate
16436,Australia,84,15,Victoria,Yarra Valley,,Cabernet Sauvignon,Sticks
16437,Australia,84,15,South Australia,Langhorne Creek,,Chenin Blanc,Temple Bruer
16566,Australia,84,8,Australia Other,South Eastern Australia,,Shiraz,Bulletin Place
16579,Australia,84,12,Australia Other,South Eastern Australia,,Merlot,McWilliam's Hanwood Estate
16581,Australia,84,7,Australia Other,South Eastern Australia,,Chardonnay,Outback Chase
16586,Australia,84,13,Australia Other,South Eastern Australia,,Chardonnay,Handpicked
16587,Australia,84,24,South Australia,Barossa Valley,,Cabernet Sauvignon,Schild Estate
16686,Australia,87,25,South Australia,Clare Valley,,Riesling,Mount Horrocks
16687,Australia,87,12,South Australia,South Australia,,Chardonnay,Razor's Edge
16698,Australia,87,20,South Australia,McLaren Vale,,Shiraz,Mitolo
16713,Australia,84,20,Victoria,Mornington Peninsula,,Chardonnay,Box Stallion
16715,Australia,84,12,Australia Other,South Eastern Australia,,Shiraz,Four Sisters
16718,Australia,84,20,Victoria,Nagambie Lakes,,Cabernet Sauvignon,Tahbilk
16727,Australia,83,18,South Australia,Clare Valley,,Riesling,Tim Gramp
16728,Australia,83,25,Australia Other,South Eastern Australia,,Merlot,Marquee
16738,Australia,83,10,Victoria,Victoria,,Chardonnay,Marquee
16755,Australia,86,20,South Australia,South Australia,,Shiraz,Hardys
16772,Australia,88,95,Victoria,Yarra Valley,,Pinot Noir,Yarra Yering
16775,Australia,88,20,Victoria,Yarra Valley,,Pinot Noir,Sticks
16844,Australia,87,30,South Australia,Piccadilly Valley,,Champagne Blend,Petaluma
16856,Australia,87,18,Western Australia,Frankland River,,Riesling,Alkoomi
16868,Australia,83,7,Australia Other,South Eastern Australia,,White Blend,Outback Chase
16873,Australia,83,14,South Australia,South Australia,,Cabernet Sauvignon-Shiraz,Heath Wines
16883,Australia,83,9,South Australia,South Australia,,Shiraz,Oxford Landing
16886,Australia,82,10,South Australia,South Australia,,Chardonnay,Lindemans
16913,Australia,85,17,Australia Other,South Eastern Australia,,Shiraz,Wyndham Estate
16922,Australia,88,12,Victoria,King Valley,,Pinot Noir,Nugan Family Estates
16980,Australia,87,14,South Australia,Barossa,,Chardonnay,Grant Burge
16989,Australia,87,19,Western Australia,Margaret River,,Chardonnay,Wildberry Estate
17003,Australia,86,,Western Australia,Western Australia,,Riesling,Palandri
17014,Australia,82,30,Victoria,Mornington Peninsula,,Chardonnay,Box Stallion
17019,Australia,82,15,South Australia,Langhorne Creek,,Cabernet Sauvignon-Malbec,Zonte's Footstep
17020,Australia,82,10,Victoria,Alpine Valleys,,Chardonnay,Paiko
17034,Australia,81,8,Australia Other,South Eastern Australia,,Chardonnay,Jacob's Creek
17040,Australia,85,10,Victoria,Victoria,,Moscato,Innocent Bystander
17135,Australia,86,11,South Australia,South Australia,,Chardonnay,Yalumba
17143,Australia,86,15,South Australia,Clare Valley,,Riesling,Reilly's
17144,Australia,86,12,Australia Other,South Eastern Australia,,Chardonnay,Rosemount
17152,Australia,86,12,Australia Other,South Eastern Australia,,Pinot Grigio,Rosemount
