Wine ID,country,description,designation,points,price,province,region_1,region_2,variety,winery
3584,Australia,"This medium-bodied Shiraz represents a solid value. Sourced from 80 growers, it's meant to present a ??úportrait??ù of the Barossa region, and it delivers vanilla, plum and black olive aromas and flavors, supple tannins and a lingering mocha finish.",Portrait,89,16,South Australia,Barossa Valley,,Shiraz,Peter Lehmann
3958,Australia,"With only 12% new oak and 28% of the fruit coming from the cool Eden Valley, this wine may hold more appeal to lovers of Old World Syrah than any other Torbreck bottling. Pepper, bacon fat and mixed berries mark the nose, while the palate is full, creamy and expansive. The long finish includes enough soft, dusty tannins to suggest cellaring through 2030 as a possibility, although it's delicious now.",The Struie,94,50,South Australia,Barossa,,Shiraz,Torbreck
4232,Australia,"Named for the special format of small oak barrel it's aged in, this has soaked up the oak impressively. Hints of vanilla and graham crackers accent mixed berry fruit, while the finish is long and mouthwatering. There's ample concentration, yet the wine never seems heavy. Drinkable now, but why rush things? Drink 2020???2030.",The Octavius Old Vine,93,120,South Australia,Barossa,,Shiraz,Yalumba
4477,Australia,"Named for the special format of small oak barrel it's aged in, this has soaked up the oak impressively. Hints of vanilla and graham crackers accent mixed berry fruit, while the finish is long and mouthwatering. There's ample concentration, yet the wine never seems heavy. Drinkable now, but why rush things? Drink 2020???2030.",The Octavius Old Vine,93,120,South Australia,Barossa,,Shiraz,Yalumba
4480,Australia,"One of the plusses to having a cash-flow brand like Yellow Tail in the portfolio is that it gives the owners the opportunity to properly age their high-end wines prior to release. At 10 years old, this has acquired a veneer of silkiness and elegance that enfolds the cassis and red-currant fruit. There's no shortage of smoky, vanilla and brown-sugar inflected oak either. Drink now???2025.",1919,93,100,South Australia,Wrattonbully,,Cabernet Sauvignon,Casella
4752,Australia,"Full-bodied, rich and chewy, this is a big, bold wine. Ample oak frames black cherry and cassis fruit, adding hints of vanilla and dark chocolate to the fudge-like impression. Warmth suffuses the palate, but doesn't quite progress to full-blown high-alcohol heat. There's no doubting its impressive intensity and ripeness. Drink now???2025.",Velvet Glove,93,185,South Australia,McLaren Vale,,Shiraz,Mollydooker
5078,Australia,"Austere, tannic and chewy, this Cabernet could use a few years in the cellar. Classic mint and cassis notes are framed by cedar and vanilla, but the fruit comes through on the firm, dusty finish, a sign of positive things to come. Drink 2020???2030.",Trueman,93,75,South Australia,McLaren Vale,,Cabernet Sauvignon,Hickinbotham
5207,Australia,"The lightest of the 2012 single-vineyard Pinot Noirs from Giant Steps, this is an almost delicate wine with silky tannins. Notes of smoke, earth and mushroom mark the nose, while hints of pine boughs impart a slightly medicinal edge to the cherry fruit. Drink now.",Gladysdale Vineyard,86,42,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
5378,Australia,"Tasted together with the 2013, this is everything its younger brother is, but ever-so-slightly less intense. Complex notes of baking spices, pepper, bacon fat, raspberries and blueberries glide across the palate, picking up a slightly meaty note on the long, fruit-driven finish. Drink now???2030.",The Struie,93,50,South Australia,Barossa Valley,,Shiraz,Torbreck
5390,Australia,"Only released in top vintages, this is Jim Barry's luxury cuv??e of Cabenet Sauvignon. It does see plenty of oak, so it shows impressive notes of baking spices, vanilla and brown sugar, but it backs those with ample dark fruit. It's elegant despite its size, with a fine-grained tannins lingering on the finish. Drink now???2025, and possibly beyond.",The Benbournie,93,83,South Australia,Clare Valley,,Cabernet Sauvignon,Jim Barry
5399,Australia,"This release deserves some sort of award for consistency, year in and year out. The 2011 is light to medium in body and long, zesty and vibrant on the finish. Aromas and flavors of bergamot, honey (although the wine is completely dry) and toast are classic aged Eden Valley Riesling. Drink now???2030.",The Contours Museum Reserve,93,45,South Australia,Eden Valley,,Riesling,Pewsey Vale
5465,Australia,This supple medium-bodied Pinot Noir is ready to drink. Predominantly earthy notes of leather and dried spices are harmonious and complex without being overly demanding.,Omrah,88,20,Western Australia,Western Australia,,Pinot Noir,Plantagenet
5843,Australia,"Vanilla, cedar and plum notes benefit from a dusting of cracked pepper in this medium-bodied dry red. The tannins are supple to the point of creaminess, and the finish warm and spicy. Drink now.",,88,15,South Australia,South Australia,,Shiraz,2 Up
5939,Australia,"Classic Eden Valley aromas of lemon-lime sherbet and wet stone mark the nose of this medium-bodied wine. That wet stone note carries through on the palate to yield a slightly chalky or crushed-stone texture, while the citrus fruits race through the long finish. Drink 2020???2030.",Julius,92,43,South Australia,Eden Valley,,Riesling,Henschke
6078,Australia,"Classic Eden Valley aromas of lemon-lime sherbet and wet stone mark the nose of this medium-bodied wine. That wet stone note carries through on the palate to yield a slightly chalky or crushed-stone texture, while the citrus fruits race through the long finish. Drink 2020???2030.",Julius,92,43,South Australia,Eden Valley,,Riesling,Henschke
6361,Australia,"For an entry-level wine, this is excellent. The aromas and flavors feature smoky, stemmy, herbal goodness layered over blueberries and black cherries, while the palate is full and supple and the finish long, silky and elegant. The quality of this wine has me looking even more forward to Torbreck's high end 2014s.",Woodcutter's,92,24,South Australia,Barossa Valley,,Shiraz,Torbreck
6363,Australia,"Great Southern is an underrated source for Cabernet Sauvignon, amply demonstrated by this wine. Expansive notes of cedar, brown sugar, vanilla and baking spices enrobe tart berries, while the wine's firm structure carries through to a crisp, tannic finish. Try in 2020.",,92,29,Western Australia,Great Southern,,Cabernet Sauvignon,Plantagenet
6385,Australia,"Dry Riesling of this quality is capable of aging up to two decades, especially under screw cap. this one is medium bodied and dominated at the moment by ripe, citrusy fruit. It's more orange than lime, yet still shows great acidity and length. Drink 2020???2030.",Mort's Reserve,92,30,South Australia,Clare Valley,,Riesling,Kilikanoon
6386,Australia,"The 2014 vintage was slightly cooler than 2013 in the Barossa, which bodes well for Cabernet. This shows aromatic red currants, bay leaf and sage on the nose, then folds in hints of cinnamon and brown sugar. The oak is in the background, letting the fruit carry the wine, yet building in a rich, velvety texture. Drink now???2030.",Blacksmith,92,31,South Australia,Barossa,,Cabernet Sauvignon,Langmeil
6679,Australia,"This is a plump, succulent Chardonnay for drinking by the end of 2016. The apple, citrus and pear notes are pretty simple, but clean, with a long, refreshing finish.",Promised Land Unwooded,88,13,South Australia,South Australia,,Chardonnay,Wakefield Estate
6682,Australia,"Because of a short vintage, this Clare Valley-based winery reached down into Padthaway for fruit. The result is a broad, slightly warm wine, marked by melon, peach and apricot flavors. Drink now.",,87,17,South Australia,South Australia,,Chardonnay,Wakefield Estate
6732,Australia,"After spending 18 months in oak, this wine has emerged toasty and vanilla-laden. That said, there's some impressive fruit underneath, medium-bodied and crisp, with undertones of raspberries and red currants that linger on the concentrated finish. Drink 2020???2030.",Lucindale,92,,South Australia,Limestone Coast,,Cabernet Sauvignon,Di Giorgio Family Wines
6735,Australia,"At a fraction of the cost of the Velvet Glove, readers can try this wine with similar results. It's full, rich and expansive on the palate. Warm waves of ripe berries suffuse the palate, tinged with Mexican chocolate, vanilla and mocha. Drink now???2025.",Carnival of Love,92,75,South Australia,McLaren Vale,,Shiraz,Mollydooker
6996,Australia,"Full bodied, creamy in texture and lush on the palate, this wine offers a thrilling mouthful of satisfaction. Menthol, vanilla and cedar notes frame ripe, plummy fruit, while the velvety finish features lingering spice. Drink now???2025.",,92,40,South Australia,Padthaway,,Shiraz,Henry's Drive Vignerons
7018,Australia,"This is a fine example of what Barossa Shiraz is capable of at a realistic price. It's full bodied and richly textured, plush without being too soft. French oak brings a smoky, bacony element to the ripe blueberry fruit, plus a dusting of baking spices that lingers on the finish. Drink now???2025.",Twins,92,25,South Australia,Barossa,,Shiraz,Maverick
7019,Australia,"Creamy and plush may not be traditional Cabernet descriptors, but they're what this wine delivers. Vanilla and graham cracker notes swaddle mixed currant fruit in this big but cuddly teddy bear of a wine. Drink now???2022.",Gigglepot,92,49,South Australia,McLaren Vale,,Cabernet Sauvignon,Mollydooker
7104,Australia,"The Pannell family, who founded Margaret River's Moss Wood in 1969, moved on in the mid-1990s to Pemberton, where it felt conditions were more suited to Burgundian varieties. This is a rather full-bodied Pinot Noir, with supple tannins and a long, slightly dusty finish. Light resiny notes and rooty scents add complexity to modest cherry fruit. Drink now???2020.",,87,40,Western Australia,Pemberton,,Pinot Noir,Picardy
7409,Australia,"Pie cherry and rhubarb notes make a bright impression on the nose, followed by tart flavors bundled in a mocha-tinged wrapper. The texture is almost syrupy on the midpalate, but turns dry and dusty on the finish. This is a bit disjointed at this stage, so perhaps it will improve with cellaring. Try after 2018.",Bicheno Single Site,87,65,Tasmania,Tasmania,,Pinot Noir,Dalrymple
7634,Australia,"Baking spices and vibrant cassis set up the nose of this Cabernet. Those same elements are apparent on the palate, where the wine is full-bodied and solidly built. Cinnamon and cocoa notes add a dusty feel to the lingering finish. Drink now???2025.",Directors' Cut,92,39,South Australia,Langhorne Creek,,Cabernet Sauvignon,Heartland
7734,Australia,"Cedar and vanilla notes mark the nose of this wine, which boasts ample weight, modest fruit and a soft, open-knit texture. It's appealing for its oaky charm.",,87,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
7963,Australia,"This Southern Hemisphere adventure from an Austrian winemaking family can turn out some interesting wines. In this case, it's a medium-bodied wine that's firm yet silky in feel, marrying cassis and tobacco leaf with subtle, balanced oak.",Finniss River Braeside Vineyard,91,35,South Australia,Fleurieu Peninsula,,Cabernet Sauvignon,Salomon Estate
7979,Australia,"Medium-bodied, crisp and firmly tannic, this Cabernet still needs a few years to come into full bloom. Cassis, leather and vanilla notes merge together on the finish, joined by dusty tannins. Cellar until 2020.",The Coppermine Road,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,D'Arenberg
8016,Australia,"Cedar and vanilla notes mark the nose of this wine, which boasts ample weight, modest fruit and a soft, open-knit texture. It's appealing for its oaky charm.",,87,20,South Australia,Adelaide Hills,,Pinot Noir,Sidewood
8193,Australia,"This Southern Hemisphere adventure from an Austrian winemaking family can turn out some interesting wines. In this case, it's a medium-bodied wine that's firm yet silky in feel, marrying cassis and tobacco leaf with subtle, balanced oak.",Finniss River Braeside Vineyard,91,35,South Australia,Fleurieu Peninsula,,Cabernet Sauvignon,Salomon Estate
8194,Australia,"The wine emulates Bordeaux in more than name, being medium-bodied and a bit austere. It's firm and linear in construction, blending mint and black currant flavors into a crisp, tightly wound Cabernet. Try after 2020.",Dead Ringer,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,Wirra Wirra
8198,Australia,"Parts of Clare Valley are ideal for Cabernet Sauvignon, illustrated by this reasonably priced bottling. Mint and cassis show remarkable purity on the nose, while the palate is properly restrained without being hard or austere. That said, there are some dusty tannins on the finish, so drink 2020???2030.",Blocks Road,91,30,South Australia,Clare Valley,,Cabernet Sauvignon,Kilikanoon
8492,Australia,"Broad and ripe, this wine offers hints of lemon curd, crushed stone and cashew butter. Ripe melon fruit flavors dominate the palate, even suggesting honey at times, while anise notes provide a bit of lift on the finish. Drink now.",Reserve,87,12,Australia Other,South Eastern Australia,,Chardonnay,Lismore Range
8530,Australia,"this is a lovely effort and a great value from Sidewood in the Adelaide Hills. Grilled peaches provide the flesh, while a bright, citrusy note adds focus and length to this ripe, rich Chardonnay. Drink now???2020.",,91,18,South Australia,Adelaide Hills,,Chardonnay,Sidewood
8535,Australia,"Made in a savory, ageworthy style, the 2013 Covenant features aromas of tar, espresso and black olive. It adds intriguing red-berry notes on the full-bodied palate, along with dusty tannins that persist through the long finish. Drink 2018???2025.",Covenant,91,40,South Australia,Clare Valley,,Shiraz,Kilikanoon
8586,Australia,"Blended from Yarra Valley and King Valley fruit, this light-bodied Pinot Noir is silky in texture, with a lingering finish. Modest red fruit combines with earthier notes of parsnip. Drink now.",,87,14,Victoria,Victoria,,Pinot Noir,Shoofly
8800,Australia,"This doesn't appear to be the strongest recent vintage of this wine, but it remains a benchmark for McLaren Vale Shiraz. Hints of vanilla and tobacco leaf add nuance to a mix of berries ranging from red raspberry to black currant, but there's also a hint of bruised fruit and a green toughness to the tannins. Give it some time in the cellar. Drink 2020???2030.",Amery Vineyard Block 6,91,120,South Australia,McLaren Vale,,Shiraz,Kay Brothers
8818,Australia,"Full bodied and lavishly oaked, this wine boasts gorgeous shadings of brown sugar, clove and cinnamon layered over cassis and red berries. The plush finish lingers, folding in plum and vanilla. Drink now???2023.",,91,25,South Australia,McLaren Vale,,Cabernet Sauvignon,Beresford
9093,Australia,"Full bodied and lavishly oaked, this wine boasts gorgeous shadings of brown sugar, clove and cinnamon layered over cassis and red berries. The plush finish lingers, folding in plum and vanilla. Drink now???2023.",,91,25,South Australia,McLaren Vale,,Cabernet Sauvignon,Beresford
9110,Australia,"D'Arenberg's Coppermine Cabernets are often tannic and austere upon release, so be warned should you decide to open one in the next year or two. The aromas and flavors are classic this year, seamlessly marrying cassis and cedar, but finishing dry, astringent and firm. Drink 2020???2030+.",The Coppermine Road,91,65,South Australia,McLaren Vale,,Cabernet Sauvignon,D'Arenberg
9136,Australia,"You could do a lot worse at the U.S. Open than to sip a glass of this. Keeping it well-chilled will help rein in the broad, weighty notes of peach and melon and allow hints of peppery spice to emerge on the finish. Drink now.",Classic,86,9,Australia Other,South Eastern Australia,,Chardonnay,Jacob's Creek
9275,Australia,"Classic Margaret River Cabernet, showing great balance between cedary oakiness and effusive fruitiness. Cola and plum notes give this a darker flavor spectrum than some vintages, yet the flavors remain crisp and vibrant, ending with soft tannins. Drink now???2025.",,91,72,Western Australia,Margaret River,,Cabernet Sauvignon,Cape Mentelle
9282,Australia,"Despite coming from a warm, inland region, this shows admirable freshness. Cassis, vanilla, some red-fruit tones and baking spices all come together harmoniously on the medium-bodied palate. It's restrained yet intense, with a long, silky finish. Drink now???2025.",Stomper's Single Vineyard,91,17,New South Wales,Riverina,,Cabernet Sauvignon,Nugan Family Estates
9283,Australia,"Dark chocolate and cedar merge easily on the nose of this medium- to full-bodied wine. Those dark, oaky elements are balanced by tart berries on the palate, enhanced by barrel char and oodles of soft tannins on the long finish. Drink now???2025.",Scotsdale,91,37,Western Australia,Great Southern,,Cabernet Sauvignon,Howard Park
9284,Australia,"This is a terrific value in balanced, ready-to-drink Australian Cabernet. It brings several Bordeaux-ish qualities to the table???medium body, silky tannins and aromas reminiscent of cigar box and Ribena???then adds varietally true flavors and a long finish. Drink now???2025.",The Cover Drive,91,20,South Australia,Coonawarra,,Cabernet Sauvignon,Jim Barry
9617,Australia,"This isn't Coonawarra's most elegant wine, but it certainly doesn't lack for character or concentration. Menthol, vanilla, cedar and cassis deliver plenty of flavor in this chunky, full-bodied Cabernet. Charred, mocha-like notes emerge on the long, intense finish. Drink now???2025.",,91,,South Australia,Coonawarra,,Cabernet Sauvignon,Balnaves of Coonawarra
9628,Australia,"Although sourced from the warm northern end of Barossa, the intention is to make a less bombastic expression of Shiraz, with only 14% new French oak. Mulberry fruit still comes through, accented by hints of coffee, mint and dark chocolate, without too much extraction or tannin. Drink now???2025.",Paradox,91,45,South Australia,Barossa,,Shiraz,Yalumba
9917,Australia,"For the price, this is a remarkable achievement. It's a varietally correct, properly lightweight Pinot Noir imbued with attractive black cherry fruit. There's a charred-stave character that adds vanilla and a tinge of mocha as well. Drink now.",Reserve,85,13,South Australia,Adelaide Hills,,Pinot Noir,Jacob's Creek
9932,Australia,"The Hilltops is a high-altitude (approximately 450 meters above sea level), continental region that's often a good source for value. This wine is crisp, youthful and firm, with hints of baking spices and vanilla accenting pure cassis fruit. Drink 2020???2030.",,90,15,New South Wales,Hilltops,,Cabernet Sauvignon,McWilliam's
9958,Australia,"Frenchman Jacques Lurton comes from a family that knows a thing or two about making wine, and this offering is a medium-bodied, creamy-textured testament to that. The nose starts off with spring flowers, pear and apricot notes, while the palate add hints of ginger before gliding to a long, pure finish. Drink now.",The White Estate Vineyards,90,15,South Australia,South Australia,,Chardonnay,The Islander
10247,Australia,"This medium-bodied shiraz is remarkably fresh and vibrant, deftly blending maple syrup and smoke with red berries, then easing into a firm, dusty finish. Drink now???2025.",The McRae Wood,90,52,South Australia,Clare Valley,,Shiraz,Jim Barry
10354,Australia,"This seems a bit oaky on the nose, where scents of baking spices and cedar dominate, but those elements are balanced out on the palate, where blackberries, plums and black currants comes to the fore. This is a full-bodied, ripe-textured wine worth a look. Drink now???2025.",Three Blocks,90,30,South Australia,McLaren Vale,,Cabernet Sauvignon,Fox Creek
10359,Australia,"Frenchman Jacques Lurton comes from a family that knows a thing or two about making wine, and this offering is a medium-bodied, creamy-textured testament to that. The nose starts off with spring flowers, pear and apricot notes, while the palate add hints of ginger before gliding to a long, pure finish. Drink now.",The White Estate Vineyards,90,15,South Australia,South Australia,,Chardonnay,The Islander
10505,Australia,"This has all the size and weight you've come to expect from Australia's most famous wine. Huge fruit and huge oak combine in a full-bodied, richly textured package that delivers waves of toasted coconut, vanilla and intense dark berries yet remains embryonic more than five years after the harvest. That said, the texture isn't quite as tight or as fine as some other vintages???expect this to be early maturing by Grange standards, and best from 2020???2040.",Grange,98,850,South Australia,South Australia,,Shiraz,Penfolds
10508,Australia,"This shows the strength of the 2010 vintage in the Barossa Valley, marrying incredibly ripe fruit with seamless structure. Cinnamon and vanilla notes from the French oak blend easily into blueberry fruit, all grounded by hints of dark chocolate and umami. It's full bodied, lushly textured almost to the point of creaminess and long???ridiculously long???on the finish. Drink 2018???2030 and possibly beyond.",RWT,97,150,South Australia,Barossa Valley,,Shiraz,Penfolds
10509,Australia,"This is dark and concentrated, as you might expect from Australia's most heralded wine. Oaky scents of maple syrup and vanilla frame hints of mint and superintense dark fruit. On the palate, it's a huge, tannic behemoth that needs 10 years of cellaring, but it delivers plenty of pleasure now in its ultraclean flavors of blackberries, baking spices and vanilla.",Grange,97,600,South Australia,South Australia,,Shiraz,Penfolds
10517,Australia,"RWT (unromantically derived from ??úRed Wine Trial??ù) is 100% Barossa Valley Shiraz, aged in 100% French oak. In some vintages, like this one, the combination is incredibly sumptuous, offering layers of blueberry and blackberry fruit intermingled elegantly with hints of French vanilla. It's long, subtle and complex on the finish???a stunning effort. It's approachable now, but should age well through 2030 or so.",RWT,96,150,South Australia,Barossa Valley,,Shiraz,Penfolds
10522,Australia,"With aromas and flavors that range widely from grilled meat, espresso and black olive to dried herbs, cracked pepper and blueberry, this is an enormously complex wine. It's full bodied but balanced by ample acidity, which imparts terrific length to the finish. Drink now???2017, possibly longer.",The Factor,95,125,South Australia,Barossa Valley,,Shiraz,Torbreck
10528,Australia,"This is likely the most ageworthy Shiraz winemaker John Duval has crafted since leaving Penfolds. The oak is subtle, the fruit still tight. It's full bodied but bursting with potential, shown in hints of black cherries and plums, mocha and mint. The finish is long, mouthwatering and softly dusty in texture, making it luscious yet firm. Drink 2018???2030.",Eligo,95,100,South Australia,Barossa,,Shiraz,John Duval Wines
10575,Australia,"For $13, this is an impressively detailed and complex wine. Floral notes reminiscent of lavender or rosemary mark the nose and impart interest to the palate, which deftly marries herbs, baking spices and dark fruit. Crisp acids combine with soft tannins on the silky finish. Drink now???2022.",Promised Land,90,13,South Australia,South Australia,,Cabernet Sauvignon,Wakefield Estate
10581,Australia,"This Western outpost of Yalumba's empire has produced a supple Cabernet that's already approachable. Cedar, mocha and vanilla notes wreathe the red-berry fruit, giving this a woody but harmonious nature. Drink now???2025.",,90,22,Western Australia,Margaret River,,Cabernet Sauvignon,Ringbolt
10585,Australia,"This is a full-bodied, rich and round Cabernet Sauvignon. Juicy, mouthwatering cassis fruit is framed by cedar, vanilla and baking spices, while the finish showcases fine tannins. Given the quality of this wine, it's a shame that Wynns' high-end john Riddoch Cab doesn't get exported to the U.S.",Black Label,90,40,South Australia,Coonawarra,,Cabernet Sauvignon,Wynns Coonawarra Estate
10587,Australia,"This is a medium-bodied, richly textured Chardonnay that deserves a place on any table. Grilled pineapple and peach notes convey ripeness without excessive oak or weight, finishing long and plush. Drink now???2020.",Made With Organic Grapes,90,17,South Australia,South Australia,,Chardonnay,Yalumba
10602,Australia,"This full-bodied, muscular Shiraz is built for the ages. Baking spices and plummy fruit form a concentrated, nearly impenetrable wall on the nose, while the palate is nearly dense enough to stand a fork in. Despite all that, it's not overly heavy or fudge-like, instead offering tremendous poise, purity and length. Drink 2020???2030, and likely then some.",Amery Vineyard Block 6,96,120,South Australia,McLaren Vale,,Shiraz,Kay Brothers
10633,Australia,"There's 10% Zinfandel blended into this wine, but looking at my notes, I never would've thought so. The pale color is all Pinot Noir, as are the aromas of earth and tomato (the vanilla comes from the French oak barrels). It's light and crisp, with a tart finish.",Are You Game?,84,17,Victoria,Victoria,,Pinot Noir,Fowles Wine
10771,Australia,"The fruit for this offering comes from the Green's and Crowhurst vineyards. This wine brings a a sense of cellarworthiness, from the inky color and dense, impenetrable bouquet to the richly tannic palate and long, plushly textured finish. Right now, it delivers hints of toast and mint, blueberry and plum fruit and savory notes of roasted meat and mocha. Drink 2018???2025+.",R Reserve,95,105,South Australia,Barossa Valley,,Shiraz,Kilikanoon
10793,Australia,"Having earned its reputation as one of Australia's finest Chardonnays, the challenge is then to maintain that level of quality. The 2010 Art Series certainly does that. Enticing aromas of woodsmoke, peach and pink grapefruit give way to intense flavors of citrus and stone fruit on the palate. It's full bodied, yet with great focus and length, ending crisply despite the wine's inherent richness. Drink now???2020, perhaps longer.",Art Series,94,89,Western Australia,Margaret River,,Chardonnay,Leeuwin Estate
10865,Australia,"Perhaps the best young wine I've tasted from Margaret River, this makes a compelling case for the region's Cabernet. Pure cassis fruit is lifted and framed by hints of toasted cedar, making for soaring aromatics and flavors, but what sets this wine apart is the tender, silky texture married to ample weight and richness. The finish lingers, with a supple, dreamy character that speaks to a gentle climate and careful winemaking. Drink now???2030.",,95,84,Western Australia,Margaret River,,Cabernet Sauvignon,Moss Wood
10880,Australia,"This is wonderfully complex and aromatic, with scents ranging from baking spices and savory beef to mixed berries. That swirl of seeming contradictions continues on the palate, backed by luxurious, supple tannins that linger softly on the finish. Drink now???2025.",St. Andrews Single Vineyard Release,95,60,South Australia,Clare Valley,,Shiraz,Wakefield Estate
11073,Australia,"Eligo is winemaker John Duval's luxury Shiraz, drawn from selected Barossa parcels. The 2009 is a dark, tarry Shiraz, heavy on the savory elements of black olives and dark chocolate and buttressed by ample cassis-tinged fruit. It's full bodied and firm, with a long, finely textured finish. Drink now???2025.",Eligo,94,100,South Australia,Barossa,,Shiraz,John Duval Wines
11074,Australia,"Like virtually all of Penfolds' top-end reds, this is full bodied and densely concentrated. As it's aged solely in large vats, there's no oak influence and the wine needs a bit of bottle age to come around. For now, it's a bit monolithic, showing hints of mint, black olive and ripe raspberries before ending long and fine. Drink 2017???2030, and perhaps beyond.",St. Henri,94,65,South Australia,South Australia,,Shiraz,Penfolds
11098,Australia,"These 100-plus-year-old vines were transplanted to another site, but continue to yield outstanding wines. Intriguing aromas of fruit compote and roasted meat lead into a palate of blueberry and spice. It's medium to full in body, with supple tannins that finish on a faintly dusty note. Ready to drink now, but should hold at least through 2020.",Orphan Bank,93,57,South Australia,Barossa,,Shiraz,Langmeil
11185,Australia,"A tip of the cap to the Angove family for turning out such an ageworthy wine. It's packed and stacked with mulberry fruit, lashings of vanilla and just a hint of mint. Full-bodied and tannic, it should drink well from 2020???2030.",The Medhyk Old Vine,94,95,South Australia,McLaren Vale,,Shiraz,Angove
